priority,entity,required_source,finance_extract,people_extract,status
1,Arts Council England,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
2,British Film Institute,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
3,British Library,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
4,British Museum,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
5,Churches Conservation Trust,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
6,Historic England,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
7,Horniman Museum and Gardens,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
8,Imperial War Museums,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
9,National Gallery,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
10,National Museums Liverpool,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
11,National Portrait Gallery,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
12,Natural History Museum,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
13,Royal Armouries,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
14,Royal Museums Greenwich,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
15,Science Museum Group,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
16,Sir John Soane's Museum,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
17,Tate,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
18,Victoria and Albert Museum,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
19,Wallace Collection,latest audited annual report/accounts,income notes; public grants; Lottery if applicable; private/earned income; staff; programme spend; reserves/assets/liabilities,complete board; executive; term dates; appointment records,pending
