priority,entity,required_extraction
1,Arts Council England,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
2,British Film Institute,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
3,British Library,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
4,British Museum,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
5,Charity Commission,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
6,Churches Conservation Trust,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
7,Historic England,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
8,Horniman Museum and Gardens,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
9,Imperial War Museums,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
10,National Archives,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
11,National Gallery,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
12,National Museums Liverpool,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
13,National Portrait Gallery,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
14,Natural History Museum,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
15,Royal Armouries,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
16,Royal Museums Greenwich,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
17,Science Museum Group,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
18,Sir John Soane's Museum,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
19,Tate,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
20,Victoria and Albert Museum,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
21,Wallace Collection,legal basis; taxpayer funding route; board/executive powers; appointment rights; sponsor controls; audit/reporting; delegated limits; precise section locators
