entity_id,public_name,legal_identity,what_is_it,legal_power_basis,money_in,money_out,decision_authority,judgement_mechanism,executive_personnel,governing_personnel,appointment_routes,scrutiny_accountability,capacity_evidence,strategy_claim,operational_commitment,measurable_target,committed_budget,outputs,results,evidence_gaps,source_ids,last_verified
inst-royal-ballet-and-opera,Royal Ballet and Opera,Not yet evidenced,"Opera and ballet institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-english-national-opera,English National Opera,Not yet evidenced,"Opera institution in London / Greater Manchester transition, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-opera-north,Opera North,Opera North Ltd,"Opera institution in Leeds, England. Detailed function statement not yet evidenced.",Not yet evidenced,Arts Council England; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Richard Mantle — General Director,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-welsh-national-opera,Welsh National Opera,Welsh National Opera Ltd,"Opera institution in Cardiff, Wales. Detailed function statement not yet evidenced.",Not yet evidenced,Arts Council of Wales; Arts Council England; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Adele Thomas — General Director,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-scottish-opera,Scottish Opera,Scottish Opera,"Opera institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Scottish Government support; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Alex Reedijk OBE FRC — General Director,Chair: Peter Lawson CBE,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-birmingham-royal-ballet,Birmingham Royal Ballet,Birmingham Royal Ballet,"Ballet institution in Birmingham, England. Detailed function statement not yet evidenced.",Not yet evidenced,Arts Council England; Birmingham support; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Carlos Acosta — Director,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-northern-ballet,Northern Ballet,Not yet evidenced,"Ballet institution in Leeds, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-national-theatre,National Theatre,Not yet evidenced,"Theatre institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-shakespeare-company,Royal Shakespeare Company,Not yet evidenced,"Theatre institution in Stratford-upon-Avon, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-sadler-s-wells,Sadler’s Wells,Not yet evidenced,"Dance / theatre institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
