entity,current_framework,legal_governance_extracted,latest_accounts_reconciled,complete_board,appointment_routes_complete,strategy_targets_ingested,outputs_results_ingested,next_action
Arts Council England,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
British Film Institute,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
British Library,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
British Museum,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Churches Conservation Trust,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Historic England,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Horniman Museum and Gardens,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Imperial War Museums,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
National Gallery,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
National Museums Liverpool,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
National Portrait Gallery,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Natural History Museum,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Royal Armouries,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Royal Museums Greenwich,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Science Museum Group,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Sir John Soane's Museum,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Tate,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Victoria and Albert Museum,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
Wallace Collection,yes,partial,no,no,no,no,no,Framework layer verified; next join audited accounts + complete current board + appointment routes + strategy/outputs.
