entity_id,entity,date,change_type,instrument,evidence_class,documented_change,why_it_matters,continuity_or_gap,source_id
natural-history,Natural History Museum,1963,LAW,British Museum Act 1963,PRIMARY — STATUTE,Creates the separate Natural History Museum trustee body and applies statutory collection/care provisions.,Separate statutory governance emerges from the British Museum structure.,Later strategic language does not replace these duties.,NH1
natural-history,Natural History Museum,2025,GOVERNMENT MACHINERY,DCMS framework 2025–28,PRIMARY — ADMINISTRATIVE,"Classifies NHM as central-government organisation, NDPB, exempt charity and Freedoms Body; Secretary of State is Principal Regulator.",Makes current administrative leverage and appointments visible.,Framework expressly conveys no legal powers; powers stem from statute.,NH2
science-museum,Science Museum Group,1983,LAW,National Heritage Act 1983,PRIMARY — STATUTE,"Part II makes the Science Museum Board a body corporate and establishes governance, finance and reporting provisions.",Creates the modern statutory Board architecture.,Current DCMS controls sit downstream.,SM1
science-museum,Science Museum Group,2025,GOVERNMENT MACHINERY,DCMS framework 2025–28,PRIMARY — ADMINISTRATIVE,"Specifies contemporary sponsor, finance and accountability relationships.",Shows how statutory governance is embedded in Managing Public Money/Cultural Freedoms.,Constitutive authority remains statutory.,SM2
iwm,Imperial War Museums,1920,LAW,Imperial War Museum Act 1920,PRIMARY — STATUTE,Supplies the early statutory basis for the Museum and trustee/government functions.,Proper starting point for legal genealogy.,Later amendments/frameworks require separate treatment.,IWM1
iwm,Imperial War Museums,1955,LAW,Imperial War Museum Act 1955,PRIMARY — STATUTE,Modifies the post-war statutory settlement.,Shows the legal architecture evolving rather than remaining fixed.,1920 remains historically upstream.,IWM2
rmg,Royal Museums Greenwich,1934,LAW,National Maritime Museum Act 1934,PRIMARY — STATUTE,Establishes the National Maritime Museum and provides for Greenwich land/buildings.,Creates the statutory institution and public-land relationship.,Later group branding does not replace statutory origin.,RMG1
wallace,Wallace Collection,1992,LAW,Museums and Galleries Act 1992,PRIMARY — STATUTE,"Creates the modern Board and duties to maintain, preserve, exhibit and make the collection available for study/research.",Legal baseline for testing later mission language.,Earlier bequest/founding restrictions still require urtext reconstruction.,WC1
soane,Sir John Soane’s Museum,1833,LAW,Sir John Soane’s Museum Act 1833,PRIMARY — FOUNDING STATUTE,Vests Soane's house and collection in trustees on his death under unusually specific arrangements.,Strong example of inherited purpose constraining later discretion.,Modern frameworks are downstream.,SJ1
nml,National Museums Liverpool,1986,LAW,Merseyside Museums and Galleries Order 1986,PRIMARY — STATUTORY INSTRUMENT,Establishes the national trustee Board and transfers nationally important county collections with parliamentary support.,Shows a local-government collection becoming a national body through legal transfer.,Earlier histories of component collections remain separate.,NML1
armouries,Royal Armouries,2025,GOVERNMENT MACHINERY,DCMS framework 2025–28,PRIMARY — ADMINISTRATIVE,Records the modern sponsor/accountability architecture.,"Useful for current authority, insufficient as founding history.",UPSTREAM GAP — constitutive genealogy still to reconcile.,RA1
museum-home,Museum of the Home,2025,GOVERNMENT MACHINERY,DCMS framework 2025–28,PRIMARY — ADMINISTRATIVE,Governs the DCMS relationship and explicitly conveys no legal powers/responsibilities.,Demonstrates why framework documents cannot substitute for constitutive texts.,UPSTREAM GAP — founding/trust instruments still to recover.,MH1
horniman,Horniman Museum and Gardens,2025,GOVERNMENT MACHINERY,DCMS framework 2025–28,PRIMARY — ADMINISTRATIVE,Identifies the Trust as company/registered charity and points upstream to memorandum/articles for powers and purposes.,The framework itself tells SIDONIE where constitutive evidence lives.,UPSTREAM GAP — memorandum/articles and earlier trust instruments still to retrieve.,H1
