institution_name,sector,location,nation,legal_entity,legal_context,leadership_history_seed,current_leader,current_role,funding_architecture,review_status
Scottish Opera,Opera,Glasgow,Scotland,Scottish Opera,Charitable company,Alexander Gibson; Peter Hemmings; Richard Armstrong; Alex Reedijk,Alex Reedijk,General Director,Scottish Government support; earned income; philanthropy,Personnel/funding architecture populated; audited income split next
Welsh National Opera,Opera,Cardiff,Wales,Welsh National Opera Ltd,Charitable company,Aidan Lang; David Pountney; Tomáš Hanus (music leadership),Adele Thomas,General Director,Arts Council of Wales; Arts Council England; earned income; philanthropy,Cross-border public-funding structure identified; audited split next
Royal Conservatoire of Scotland,Conservatoire,Glasgow,Scotland,Royal Conservatoire of Scotland,Higher education / charity context,Jeffrey Sharkey,Jeffrey Sharkey,Principal,Scottish Funding Council / tuition / earned / philanthropy,Leadership and funding architecture populated
Royal Welsh College of Music & Drama,Conservatoire,Cardiff,Wales,Royal Welsh College of Music & Drama Ltd,Higher education / charity context,Helena Gaunt,Helena Gaunt,Principal,Higher-education public funding / tuition / earned / philanthropy,Leadership and funding architecture populated
Glasgow School of Art,Art school,Glasgow,Scotland,The Glasgow School of Art,Higher education / charity context,Penny Macbeth,Penny Macbeth,Director,Scottish Funding Council / tuition / research / philanthropy,Leadership and funding architecture populated
National Museums Scotland,Museum group,Scotland,Scotland,National Museums Scotland,Scottish public body / charity context,Chris Breward,Chris Breward,Director,Scottish Government Grant-in-Aid; earned income; donations,Public-body and leadership architecture populated
National Museum Wales,Museum group,Wales,Wales,Amgueddfa Cymru – Museum Wales,Welsh Government sponsored body / charity context,Jane Richardson,Jane Richardson,Chief Executive,Welsh Government Grant-in-Aid; earned income; grants/donations,Bilingual public name and funding architecture populated
National Museums Northern Ireland,Museum group,Northern Ireland,Northern Ireland,National Museums NI,Non-departmental public body / charity context,Kathryn Thomson,Kathryn Thomson,Chief Executive,Department for Communities; earned income; grants/donations,Departmental sponsorship and leadership populated
Citizens Theatre,Theatre,Glasgow,Scotland,Citizens Theatre Ltd,Charity / company,Dominic Hill,Dominic Hill,Artistic Director,Creative Scotland; Glasgow City Council; earned income; philanthropy,Multi-public-funder architecture populated
Royal Lyceum Theatre Edinburgh,Theatre,Edinburgh,Scotland,Royal Lyceum Theatre Company Ltd,Charity / company,David Greig; James Brining,James Brining,Artistic Director,Creative Scotland; City of Edinburgh Council; earned income; philanthropy,Leadership succession and mixed funding populated
Lyric Theatre Belfast,Theatre,Belfast,Northern Ireland,Lyric Theatre (NI),Charity / company,Jimmy Fay,Jimmy Fay,Executive Producer,Arts Council of Northern Ireland; earned income; philanthropy,Regional funding architecture populated
Birmingham Royal Ballet,Ballet,Birmingham,England,Birmingham Royal Ballet,Charity / company,Carlos Acosta,Carlos Acosta,Director,Arts Council England; Birmingham support; earned income; philanthropy,Leadership and public-funding architecture populated
Bristol Old Vic,Theatre,Bristol,England,Bristol Old Vic and Theatre Royal Trust Ltd,Charity / company,Tom Morris; Nancy Medina,Nancy Medina,Artistic Director,Arts Council England; local/public support; earned income; philanthropy,Leadership succession populated
Opera North,Opera,Leeds,England,Opera North Ltd,Charity / company,Richard Mantle,Richard Mantle,General Director,Arts Council England; earned income; philanthropy,Leadership + ACE funding architecture populated
Royal Northern College of Music,Conservatoire,Manchester,England,Royal Northern College of Music,Higher education / charity context,Linda Merrick,Linda Merrick,Principal,Office for Students / tuition / grants / earned / philanthropy,Leadership and HE funding architecture populated
