priority_score,entity_id,entity_name,gap_count,evidence_gaps
20,inst-welsh-national-opera,Welsh National Opera,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
20,inst-royal-conservatoire-of-scotland,Royal Conservatoire of Scotland,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
20,inst-national-museum-wales,National Museum Wales,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
20,inst-lyric-theatre-belfast,Lyric Theatre Belfast,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
20,inst-glasgow-school-of-art,Glasgow School of Art,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-victoria-and-albert-museum,Victoria and Albert Museum,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-university-of-the-arts-london,University of the Arts London,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-trinity-laban-conservatoire-of-music-and-dance,Trinity Laban Conservatoire of Music and Dance,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-tate,Tate,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-scottish-opera,Scottish Opera,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-science-museum-group,Science Museum Group,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-sadler-s-wells,Sadler’s Wells,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-welsh-college-of-music-drama,Royal Welsh College of Music & Drama,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
