area,authority,status,region,covered_authorities,settlement,scrutiny,culture_route,source_ids
Greater London,Greater London Authority,integrated,London,City of London + 32 London boroughs,"Integrated Settlement from 2026/27. GLA decision MD3486 records just over £500m per year and over £1.7bn across the settlement period, approximately 25% capital and 75% revenue.",London Assembly scrutiny is distinct: Budget and Performance Committee scrutinises the Mayor's budget and functional bodies; the 2026 Local Scrutiny Committee system does not apply to the GLA.,The whole settlement is not a culture budget; culture-specific routes must be identified programme by programme.,GLA-IS;GLA-BUDGET
Greater Manchester,Greater Manchester Combined Authority,integrated,North West,Bolton; Bury; Manchester; Oldham; Rochdale; Salford; Stockport; Tameside; Trafford; Wigan,Integrated Settlement. Predecessor Culture Investment budget £4.425m/year for 2023–26; 2026–29 machinery requires annual budget approval.,Overview & Scrutiny has specified call-in and information/attendance powers; individual decisions can be excluded.,Named culture portfolio machinery exists; team FTE and administration cost remain evidence gaps.,GM1;GM2;GM3
Liverpool City Region,Liverpool City Region Combined Authority,integrated,North West,Halton; Knowsley; Liverpool; Sefton; St Helens; Wirral,"Integrated Settlement. Pilot totals: £352.456214m (2026/27), £373.576864m (2027/28), £438.984783m (2028/29), £378.529929m (2029/30).","Pilot rules: 10 scrutiny members can call in a mayoral/Combined Authority decision within five working days, subject to exclusions.",Creative Places Growth Fund is separately identifiable; component rows appear below only when Liverpool is selected.,LCR1;LCR2;LCR3
North East,North East Combined Authority,integrated,North East,County Durham; Gateshead; Newcastle upon Tyne; North Tyneside; Northumberland; South Tyneside; Sunderland,Integrated Settlement from 2026/27; exact MHCLG component table requires canonical ingestion.,"Mayoral scrutiny applies; authority-specific membership, call-in and transition detail queued.",Culture-specific routes not yet reconciled.,MHCLG-IS
South Yorkshire,South Yorkshire Mayoral Combined Authority,integrated,Yorkshire and the Humber,Barnsley; Doncaster; Rotherham; Sheffield,Integrated Settlement from 2026/27; exact MHCLG component table requires canonical ingestion.,"Mayoral scrutiny applies; authority-specific membership, call-in and transition detail queued.",Culture-specific routes not yet reconciled.,MHCLG-IS
West Yorkshire,West Yorkshire Combined Authority,integrated,Yorkshire and the Humber,Bradford; Calderdale; Kirklees; Leeds; Wakefield,Integrated Settlement. Pilot provisional totals: £468.260868m; £512.895452m; £600.027772m; £529.608258m for 2026/27–2029/30.,"Cross-party scrutiny can call in/delay decisions, require attendance/information and recommend; it cannot itself make the authority's decisions.",Creative Places Growth Fund and You Can Make It Here 2 are separately evidenced.,WY1;WY2;WY3
West Midlands,West Midlands Combined Authority,integrated,West Midlands,Birmingham; Coventry; Dudley; Sandwell; Solihull; Walsall; Wolverhampton,Integrated Settlement; official annual fund table is the source of record.,Local Scrutiny Committee operating in 2026; exact powers read with the 2026 Act and constitution.,"WM Collaborator Fund: £2.95m Integrated Settlement revenue via Creative Places Growth Fund, Sep 2026–Mar 2029.",WM1;WM2
Cambridgeshire and Peterborough,Cambridgeshire and Peterborough Combined Authority,mayoral,East of England,Cambridgeshire County Council; Peterborough; Cambridge; East Cambridgeshire; Fenland; Huntingdonshire; South Cambridgeshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
East Midlands,East Midlands Combined County Authority,mayoral,East Midlands,Derby; Derbyshire; Nottingham; Nottinghamshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Greater Lincolnshire,Greater Lincolnshire Combined County Authority,mayoral,East Midlands,Lincolnshire; North Lincolnshire; North East Lincolnshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Hull and East Yorkshire,Hull and East Yorkshire Combined Authority,mayoral,Yorkshire and the Humber,Kingston upon Hull; East Riding of Yorkshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Tees Valley,Tees Valley Combined Authority,mayoral,North East,Darlington; Hartlepool; Middlesbrough; Redcar and Cleveland; Stockton-on-Tees,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
West of England,West of England Combined Authority,mayoral,South West,Bath and North East Somerset; Bristol; South Gloucestershire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
York and North Yorkshire,York and North Yorkshire Combined Authority,mayoral,Yorkshire and the Humber,City of York; North Yorkshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Devon and Torbay,Devon and Torbay Combined County Authority,strategic,South West,Devon; Torbay,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Lancashire,Lancashire Combined County Authority,strategic,North West,Lancashire; Blackpool; Blackburn with Darwen,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Cornwall,Cornwall Council,single,South West,Cornwall,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Buckinghamshire,Buckinghamshire Council,single,South East,Buckinghamshire,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Surrey,Surrey County Council,single,South East,Surrey,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Warwickshire,Warwickshire County Council,single,West Midlands,Warwickshire,Strategic/devolved funding is programme-specific; no Integrated Settlement recorded for 2026/27.,Council/strategic-authority scrutiny detail queued.,Culture-specific route not yet reconciled.,SA-FUND
Cheshire and Warrington,Mayoral Strategic Authority / transition,upcoming,North West,Cheshire East; Cheshire West and Chester; Warrington,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Cumbria,Mayoral Strategic Authority / transition,upcoming,North West,Cumberland; Westmorland and Furness,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Norfolk and Suffolk,Mayoral Strategic Authority / transition,upcoming,East of England,Norfolk; Suffolk,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Greater Essex,Mayoral Strategic Authority / transition,upcoming,East of England,Essex; Southend-on-Sea; Thurrock,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Sussex and Brighton,Mayoral Strategic Authority / transition,upcoming,South East,East Sussex; West Sussex; Brighton and Hove,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
Hampshire and the Solent,Mayoral Strategic Authority / transition,upcoming,South East,Hampshire; Isle of Wight; Portsmouth; Southampton,Devolution Priority Programme / transition area; mayoral authority timetable must be tracked against current councils.,Transitional governance: current council powers remain distinct until functions transfer.,Culture-specific machinery not yet reconciled.,DPP
