priority,institution,required_extract
1,Arts Council England,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
2,British Film Institute,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
3,British Library,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
4,British Museum,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
5,Churches Conservation Trust,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
6,Historic England,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
7,Horniman Museum and Gardens,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
8,Imperial War Museums,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
9,National Gallery,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
10,National Museums Liverpool,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
11,National Portrait Gallery,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
12,Natural History Museum,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
13,Royal Armouries,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
14,Royal Museums Greenwich,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
15,Science Museum Group,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
16,Sir John Soane's Museum,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
17,Tate,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
18,Victoria and Albert Museum,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
19,Wallace Collection,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
20,National Theatre,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
21,Royal Shakespeare Company,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
22,Royal Ballet and Opera,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
23,English National Opera,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
24,Scottish Opera,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
25,National Galleries of Scotland,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
26,National Museums Scotland,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
27,National Museums Northern Ireland,all current trustees/directors; chair; term dates; appointing authority; prior institutions; simultaneous board/executive roles; exact source locator
