date_label,title,track,documented_change,why_it_matters,what_remained,reference_ids,evidence_status
1753,Foundation by Act of Parliament,Law / purpose,"The British Museum is established by Act of Parliament around the Sloane, Cotton, Harley and Royal library collections.",Creates a national statutory institution and trustee structure.,The institution did not yet operate under the modern NDPB/charity/accountability vocabulary.,R39;R40,documented fact
1759,Museum opens at Montagu House,Access / institution,The Museum opens to visitors. The Museum’s own history notes that early access still depended on tickets and limited hours.,"Turns the statutory collection into a public-facing institution, but access was not yet equivalent to modern open admission.",The statutory foundation remained; practical access arrangements evolved over time.,R40,documented fact + institutional account
1830s onward,Access progressively widened,Access / management,Opening regulations and hours are progressively liberalised.,The meaning of a 'public museum' changes in practice without requiring a wholly new institution.,Core trusteeship and collection functions persist.,R40,institutional account
1963,British Museum Act 1963,Law / governance,The 1963 Act becomes the Museum’s principal modern statute and creates a separate body for the Natural History Museum.,Recasts the modern trustee/statutory architecture; section 6 requires the Director to be appointed by Trustees with Prime Ministerial approval.,"Trustees remain responsible for safekeeping, care and public availability of the collection.",R41;R42,documented fact
2011,Exempt-charity framework,Law / regulation,Under the Charities Act 2011 the Museum is an exempt charity; DCMS is its Principal Regulator.,Makes clear that charity-law duties coexist with public-body sponsorship rather than ordinary Charity Commission registration.,Trustees remain the governing body rather than DCMS becoming the Museum’s board.,R39,documented fact
2013,Cultural Freedoms status,Public management,"The Museum becomes part of the Cultural Freedoms regime, modifying specified operating and financial requirements.",Adds operational freedoms without removing the Museum from central-government classification or sponsor-department accountability.,Statutory duties and the public-finance relationship remain.,R42,documented fact
2022,Governance Principles updated,Governance,"The Board’s Governance Principles state how trustees intend to discharge statutory, charity-law and public-body responsibilities.",Makes the Museum’s internal governance rules more legible and explicitly incorporates Nolan/public-body standards.,The British Museum Act remains the legal foundation; internal governance documents do not replace it.,R43,documented fact
2023,Collection-security crisis disclosed,Crisis / governance,"On 16 August 2023 the Museum announces that collection items had been found stolen, missing or damaged and that police were investigating.","Turns collection security, documentation, trustee oversight and internal controls into central governance questions.",The Museum’s statutory duty to safeguard and care for the collection was not newly created by the crisis.,R44,documented fact
2024,Nicholas Cullinan becomes Director,People / governance,Nicholas Cullinan takes office as Director in June 2024.,Changes executive leadership during the post-2023 governance and recovery period.,The Director remains responsible to Trustees; the statutory appointment architecture persists.,R39,documented fact
2024–25,Security and governance remediation enters formal risk reporting,Management / crisis,"The annual report identifies loss/theft and damage to the collection as risks and lists documentation/digitisation, new security procedures and a collection audit among mitigations.",Shows the 2023 crisis becoming embedded in formal risk-management and organisational-control processes.,The report is management’s own account of mitigation; effectiveness requires independent or subsequent evidence.,R45,institutional report / documented disclosure
2025,New DCMS framework agreement,Governance / finance,DCMS and the Museum publish a formal framework agreed under Managing Public Money and approved by HM Treasury.,"Spells out the present sponsor relationship: central-government classification, NDPB status, exempt-charity status, Principal Regulator, appointments, accountability and financial controls.",The framework expressly says it creates no new legal powers; statutory authority remains rooted in legislation.,R42,documented fact
2026,Framework updated,Governance,"The 2025–28 framework is updated, including clarification of support for the Treasure Valuation Committee through a Museum subsidiary.",Demonstrates that the administrative architecture itself is a living document that can change between statutory reforms.,The underlying British Museum Act and trustee duties remain.,R42,documented fact
