power_id,place_id,mechanism_type,plain_explanation,legacy_source_ids,introduced_in
PW00001,PL00001,settlement,Integrated Settlement: use official annual component table; C38 does not substitute one headline total for constituent funds.,GM1;GM2;GM3,C38
PW00002,PL00001,culture_route,2023–26 Culture Investment budget £4.425m/year. 2026–29: revised Spirit/Sustain; Inspire/Strategic continue; new sustainability pillar; sector-led body approved in principle.,GM1;GM2;GM3,C38
PW00003,PL00001,decision_authority,Application/assessment produces a proposed package; recommended core-funded organisations return to GMCA for approval through budget process. 26 Sep 2025 approach decision was not subject to call-in.,GM1;GM2;GM3,C38
PW00004,PL00001,personnel,Cllr Neil Emmott: Portfolio Lead for Culture; Alison McKenzie-Folan: Portfolio Lead Chief Executive for Culture; Marie-Claire Daly named GMCA contact officer. Proposed sector-led body's membership/appointment rules not yet evidenced.,GM1;GM2;GM3,C38
PW00005,PL00001,capacity_evidence,"Observed: named portfolio lead, lead chief executive, culture officer, Culture and Social Impact Fund Committee, multi-year Culture Fund, impact reporting. Not evidenced: culture-team FTE or administration cost.",GM1;GM2;GM3,C38
PW00006,PL00002,settlement,"Official provisional totals: £352.456214m (2026/27); £373.576864m (2027/28); £438.984783m (2028/29); £378.529929m (2029/30). Revenue runs to 2028/29 and capital to 2029/30; some figures remain outstanding. £1.5bn is a rounded headline, not a culture budget.",LCR1;LCR2;LCR3,C38
PW00007,PL00002,culture_route,Identifiable DCMS stream: Creative Places Growth Fund — 2026/27 £4.915m revenue + £3.333333m capital; 2027/28 £4.966667m + £3.333333m; 2028/29 £4.941667m + £3.333333m.,LCR1;LCR2;LCR3,C38
PW00008,PL00002,decision_authority,Each programme needs its own decision/delegation record. C38 does not claim the Mayor personally allocates the whole settlement or Creative Places Growth Fund.,LCR1;LCR2;LCR3,C38
PW00009,PL00002,personnel,"Chief Executive Katherine Fairclough identified in Apr 2026 settlement announcement. Not evidenced: culture-team FTE, standing cultural assessment panel, appointment route for assessors.",LCR1;LCR2;LCR3,C38
PW00010,PL00002,capacity_evidence,"Observed: CA since 2017; Overview & Scrutiny; Audit & Governance; published settlement; specific creative/culture funding stream. Not evidenced: culture-team FTE, administration budget, annual cultural application volume, standing independent artistic panel.",LCR1;LCR2;LCR3,C38
PW00011,PL00004,settlement,Official provisional totals: £468.260868m; £512.895452m; £600.027772m; £529.608258m for 2026/27–2029/30. Government table lists each fund/home department; TBC remains unresolved.,WY1;WY2;WY3,C38
PW00012,PL00004,culture_route,"Creative Places Growth Fund: £4.915m R + £3.333333m C; £4.966667m R + £3.333333m C; £4.941667m R + £3.333333m C, 2026/27–2028/29. You Can Make It Here 2 increased by £4.773664m to £9.003906m total, delivery to Mar 2029.",WY1;WY2;WY3,C38
PW00013,PL00004,decision_authority,CA Board approves programme changes. You Can Make It Here 2 increase was approved subject to conditions; C38 does not generalise this route to every cultural award.,WY1;WY2;WY3,C38
PW00014,PL00004,personnel,Complete culture/heritage/sport officer hierarchy and cultural assessment-panel membership not yet verified.,WY1;WY2;WY3,C38
PW00015,PL00004,capacity_evidence,"Observed: CA Board, dedicated scrutiny, culture/framework work, Integrated Settlement, named investment programmes. Not evidenced: culture-team FTE and culture administration cost.",WY1;WY2;WY3,C38
PW00016,PL00003,settlement,From Apr 2026 Integrated Settlement combines central-government funds across six policy areas. Official government fund table is source of record for individual annual amounts.,WM1;WM2,C38
PW00017,PL00003,culture_route,"WM Collaborator Fund: £2.95m Integrated Settlement revenue via Creative Places Growth Fund, Sep 2026–Mar 2029; Networks, Leadership and Freelancer strands.",WM1;WM2,C38
PW00018,PL00003,decision_authority,"£2.95m allocation and Business Justification Case approved; implementation delegated to Director of Economy (Policy and Integration), consulting Legal, Procurement and Finance, without material change to scope/objectives/budget.",WM1;WM2,C38
PW00019,PL00003,personnel,Programme record identifies Director of Economy (Policy and Integration) as delegated implementation authority. Complete culture-team hierarchy not inferred from one programme.,WM1;WM2,C38
PW00020,PL00003,capacity_evidence,"Observed: Business Justification Case, procurement routes, delegated implementation, Single Assurance Framework, £2.95m programme. Not evidenced: total culture-team FTE, culture administration cost, complete cultural-grants portfolio.",WM1;WM2,C38
