date_label,title,event_type,entity,description,track,reference_ids,evidence_status
1753,British Museum founded,museum,British Museum,Parliamentary foundation of the British Museum creates a national collection under a statutory trustee structure.,Institution,,Seed record: reference reconciliation required
1759,British Museum opens,museum,British Museum,The Museum opens to the public at Montagu House.,Institution,,Seed record: reference reconciliation required
1824,National Gallery founded,museum,National Gallery,"Parliament votes to acquire the Angerstein collection, establishing the National Gallery.",Institution,,Seed record: reference reconciliation required
1833,Sir John Soane’s Museum Act,law,Sir John Soane’s Museum,Parliament secures the preservation of Soane’s house and collection under unusually specific statutory conditions.,Law,,Seed record: reference reconciliation required
1852,Museum of Manufactures established,museum,V&A,A museum of manufactures is established after the Great Exhibition; it develops into the South Kensington Museum and later the V&A.,Institution,,Seed record: reference reconciliation required
1856,National Portrait Gallery founded,museum,National Portrait Gallery,The National Portrait Gallery is founded to collect portraits of historically significant British figures.,Institution,,Seed record: reference reconciliation required
1881,Natural History Museum opens,museum,Natural History Museum,"Natural-history collections move to the purpose-built South Kensington building, initially as part of the British Museum.",Institution,,Seed record: reference reconciliation required
1897,Tate Gallery opens,museum,Tate,"The National Gallery of British Art opens at Millbank, later becoming Tate.",Institution,,Seed record: reference reconciliation required
1900,Wallace Collection opens,museum,Wallace Collection,The Wallace Collection opens at Hertford House after the state accepts Lady Wallace’s bequest.,Institution,,Seed record: reference reconciliation required
1917,Imperial War Museum established,museum,Imperial War Museums,The institution is created during the First World War to record the civil and military war effort and sacrifice.,Institution,,Seed record: reference reconciliation required
1946,Arts Council of Great Britain established,funding,Arts Council,The post-war state institutionalises arm’s-length public arts funding through the Arts Council.,Funding,,Seed record: reference reconciliation required
1963,British Museum Act,law,British Museum,"The British Museum Act 1963 consolidates the Museum’s modern statutory framework, including trustee and collection duties.",Law,,Seed record: reference reconciliation required
1983,National Heritage Act,law,V&A,"The National Heritage Act 1983 establishes important modern statutory arrangements for national heritage bodies, including the V&A trustee framework.",Law,,Seed record: reference reconciliation required
1992,Museums and Galleries Act,law,Tate / National Gallery,The Act establishes the modern statutory framework for institutions including Tate and the National Gallery.,Law,,Seed record: reference reconciliation required
1994,National Lottery begins,funding,National Lottery,Lottery good-causes funding creates a major additional route of cultural and heritage finance alongside Exchequer support.,Funding,,Seed record: reference reconciliation required
1997,DCMS created,government,DCMS,"The Department for Culture, Media and Sport succeeds the Department of National Heritage and becomes sponsor department for major cultural bodies.",Government,,Seed record: reference reconciliation required
2001,Free admission expands,funding,National museums,"Free admission to permanent collections is extended across the principal DCMS-sponsored national museums, altering visitor economics and the subsidy/access relationship.",Funding,,Seed record: reference reconciliation required
2010s,Austerity and public-management pressure,management,Cultural system,"Fiscal pressure coincides with stronger emphasis on self-generated income, fundraising, access and measurable performance.",Management,,Seed record: reference reconciliation required
2013,Cultural Freedoms programme,governance,National museums,Selected national museums receive additional operational freedoms while remaining inside public-finance and sponsor-department accountability structures.,Governance,,Seed record: reference reconciliation required
2020,COVID-19 closure shock,crisis,National museums,"Extended closures expose dependence on visitors, trading and commercial income and prompt exceptional public support.",Crisis,,Seed record: reference reconciliation required
2023,British Museum collection-security crisis,crisis,British Museum,"The disclosure of thefts/losses triggers major scrutiny of collection security, governance and institutional accountability.",Crisis,,Seed record: reference reconciliation required
2025–26,Framework-document refresh,governance,DCMS-sponsored museums,"DCMS and sponsored museums publish a new generation of framework agreements spelling out governance, appointments, financial controls and accountability.",Governance,,Seed record: reference reconciliation required
