status,definition
Aligned,Documented machinery and observed outputs directly correspond to the stated objective; does not prove causal success.
Partial institutional alignment,"Some machinery clearly supports the objective, but important powers, funding routes or decision processes remain elsewhere or unresolved."
Authority gap,The objective requires a power the responsible institution does not demonstrably hold.
Funding gap,Responsibility is assigned without identifiable resources adequate to the mechanism described.
Control gap,"Money moves, but relevant decision authority remains elsewhere."
Capacity gap,Power/funding exists but specialist administrative capacity is not evidenced.
Judgement gap,"Allocation exists but who exercises artistic/cultural judgement, or by what criteria, is unclear."
Appointment tension,Formal independence coexists with consequential appointment/approval powers held elsewhere.
Financial-dependence tension,Formal independence coexists with high dependence on one public funder.
Strategy / allocation mismatch,Observed allocation materially differs from stated priority; requires like-for-like time and programme comparison.
Input / output mismatch,Resource change and measured output move differently; no causal inference without further evidence.
Geographic mismatch,Stated geographic redistribution and observed allocation differ.
Institutional mismatch,Partnership/ecosystem language coexists with concentrated formal authority/resources.
Time mismatch,The strategy describes future machinery not yet implemented.
Insufficient evidence,Available evidence does not support a meaningful comparison.
