priority,entity,source_id,required_extract,locator_rule,status
1,Science Museum Group,SMG-ARA26,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,"source verified, extraction pending"
2,Natural History Museum,NHM-ARA26,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,"source verified, extraction pending"
3,Imperial War Museums,IWM-ARA26,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,"source verified, extraction pending"
4,Royal Museums Greenwich,RMG-ARA26,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,"source verified, extraction pending"
5,Arts Council England,ACE-REV1,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,ACE financial summary populated
6,British Film Institute,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
7,British Library,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
8,British Museum,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
9,Churches Conservation Trust,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
10,Historic England,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
11,Horniman Museum and Gardens,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
12,National Gallery,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
13,National Museums Liverpool,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
14,National Portrait Gallery,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
15,Royal Armouries,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
16,Sir John Soane's Museum,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
17,Tate,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
18,Victoria and Albert Museum,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
19,Wallace Collection,pending,income statement; Grant-in-Aid; other public grants; Lottery; donations; sponsorship; admissions/trading; investment; staff costs/FTE; programme/grant spend; reserves; cash/investments; fixed assets; liabilities,exact page + note/table required,source discovery pending
