priority,entity,framework_source_id,finance_source_required,people_source_required,finance_extract_required,people_extract_required,status
1,Arts Council England,ACE1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
2,British Film Institute,BFI1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
3,British Library,BL1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
4,British Museum,BM1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
5,Churches Conservation Trust,CCT1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
6,Historic England,HE1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
7,Horniman Museum and Gardens,HMG1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
8,Imperial War Museums,IWM1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
9,National Gallery,NG1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
10,National Museums Liverpool,NML1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
11,National Portrait Gallery,NPG1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
12,Natural History Museum,NHM1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
13,Royal Armouries,RA1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
14,Royal Museums Greenwich,RMG1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
15,Science Museum Group,SMG1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
16,Sir John Soane's Museum,SJSM1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
17,Tate,TATE1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
18,Victoria and Albert Museum,VA1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
19,Wallace Collection,WALL1,latest published audited annual report/accounts,complete current board/trustees + executive leadership,income note; Grant-in-Aid note; Lottery note where relevant; staff costs; grants/programme expenditure; reserves; cash/investments; fixed assets; liabilities,chair; all trustees/directors; CEO/director; appointment authority; term dates; removal power where evidenced,pending
